# Cl2 active-space bond scan
# active_space: (8, 5)
# basis: sto-3g
# energies in Hartree; HF_minus_GS in milli-Hartree
bond_angstrom	E_HF_Ha	E_GS_Ha	HF_minus_GS_mHa
1	-904.937306284080	-904.941765078927	4.458795
1.2	-907.283385947323	-907.289980467943	6.594521
1.4	-908.380003758032	-908.388225415855	8.221658
1.6	-908.863989801566	-908.875329430150	11.339629
1.8	-909.056769550739	-909.073706577282	16.937027
2	-909.112719379553	-909.138605415526	25.886036
2.2	-909.106315117677	-909.145296806064	38.981688
2.4	-909.074297916397	-909.131028697872	56.730781
2.6	-909.034835847551	-909.113676041384	78.840194
2.8	-908.996506785220	-909.100254358093	103.747573
3	-908.962927789720	-909.091900895864	128.973106
