# F2 active-space bond scan
# active_space: (10, 6)
# basis: sto-3g
# energies in Hartree; HF_minus_GS in milli-Hartree
bond_angstrom	E_HF_Ha	E_GS_Ha	HF_minus_GS_mHa
1	-195.638041458645	-195.652560298222	14.518840
1.2	-195.951873186686	-195.986310184452	34.436998
1.4	-195.970461284094	-196.041633121552	71.171837
1.6	-195.896120121987	-196.020869522487	124.749401
1.8	-195.807932764210	-195.996137146804	188.204383
2	-195.731098153216	-195.981746389313	250.648236
2.2	-195.671626240736	-195.975334676181	303.708435
2.4	-195.629339155668	-195.973370052391	344.030897
2.6	-195.600977161011	-195.973290395068	372.313234
2.8	-195.582347767716	-195.973200434463	390.852667
3	-195.569902990767	-195.973138810363	403.235820
