# Br2 active-space bond scan
# active_space: (10, 6)
# basis: sto-3g
# energies in Hartree; HF_minus_GS in milli-Hartree
bond_angstrom	E_HF_Ha	E_GS_Ha	HF_minus_GS_mHa
2	-5089.268803847574	-5089.281118365075	12.314518
2.2	-5089.323799207325	-5089.341622316423	17.823109
2.4	-5089.322276755214	-5089.348627550286	26.350795
2.6	-5089.294637515408	-5089.333405467206	38.767952
2.8	-5089.257304874896	-5089.312897236627	55.592362
3	-5089.219111825214	-5089.295481923105	76.370098
3.2	-5089.184586146875	-5089.283875431503	99.289285
3.4	-5089.155681004128	-5089.277454104769	121.773101
3.6	-5089.132770917250	-5089.274477081919	141.706165
3.8	-5089.115320048866	-5089.274186708564	158.866660
